PUHour,PUZone,month,count
afternoon,Jamaica Estates,1,13
evening,Van Cortlandt Park,1,13
afternoon,Marble Hill,1,13
morning,Bayside,1,13
midnight,Murray Hill-Queens,1,13
evening,Allerton/Pelham Gardens,1,13
evening,Manhattan Beach,1,13
afternoon,East New York/Pennsylvania Avenue,1,12
afternoon,Mount Hope,1,12
midnight,Bath Beach,1,12
afternoon,Schuylerville/Edgewater Park,1,12
evening,Bath Beach,1,12
afternoon,East Flushing,1,12
afternoon,Co-Op City,1,12
morning,Howard Beach,1,12
midnight,Howard Beach,1,12
morning,Glendale,1,12
midnight,Madison,1,12
evening,Bensonhurst East,1,12
midnight,Riverdale/North Riverdale/Fieldston,1,12
midnight,Laurelton,1,12
afternoon,Kingsbridge Heights,1,12
afternoon,Bayside,1,12
morning,Belmont,1,12
afternoon,Rosedale,1,12
evening,Jamaica Estates,1,11
midnight,East Flushing,1,11
afternoon,Bensonhurst West,1,11
morning,Fordham South,1,11
afternoon,Ozone Park,1,11
evening,Woodlawn/Wakefield,1,11
midnight,West Brighton,1,11
afternoon,Fresh Meadows,1,11
evening,Murray Hill-Queens,1,10
afternoon,Dyker Heights,1,10
morning,Saint Albans,1,10
midnight,Saint Albans,1,10
afternoon,Bronx Park,1,10
midnight,Glen Oaks,1,10
midnight,Oakland Gardens,1,10
midnight,Coney Island,1,10
afternoon,Longwood,1,10
evening,Hillcrest/Pomonok,1,10
evening,Bellerose,1,10
afternoon,Sunset Park East,1,10
evening,Grymes Hill/Clifton,1,10
morning,Fresh Meadows,1,9
afternoon,Allerton/Pelham Gardens,1,9
afternoon,Douglaston,1,9
evening,Douglaston,1,9
evening,Inwood Hill Park,1,9
evening,College Point,1,9
morning,Manhattan Beach,1,9
morning,Woodlawn/Wakefield,1,9
afternoon,Forest Park/Highland Park,1,9
evening,Queens Village,1,9
midnight,Eastchester,1,9
evening,Fresh Meadows,1,9
evening,Rosedale,1,9
midnight,Van Cortlandt Park,1,9
evening,Willets Point,1,9
midnight,Bronxdale,1,9
